[Gloo] Rank [Gloo] Rank 4 is connected to 57 is connected to  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. 7Expected number of connected peer ranks is : 
7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
logs/600b88b4-a87b-4201-a8ab-f7bc7b5c0fcf.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8327 train_time:0ms step_avg:0.04ms
step:1/1480 train_time:47ms step_avg:47.22ms
step:2/1480 train_time:68ms step_avg:33.93ms
step:3/1480 train_time:85ms step_avg:28.39ms
step:4/1480 train_time:116ms step_avg:28.99ms
step:5/1480 train_time:140ms step_avg:28.08ms
step:6/1480 train_time:173ms step_avg:28.86ms
step:7/1480 train_time:198ms step_avg:28.23ms
step:8/1480 train_time:231ms step_avg:28.83ms
step:9/1480 train_time:255ms step_avg:28.36ms
step:10/1480 train_time:288ms step_avg:28.75ms
step:11/1480 train_time:313ms step_avg:28.41ms
step:12/1480 train_time:345ms step_avg:28.75ms
step:13/1480 train_time:370ms step_avg:28.48ms
step:14/1480 train_time:403ms step_avg:28.78ms
step:15/1480 train_time:428ms step_avg:28.52ms
step:16/1480 train_time:460ms step_avg:28.76ms
step:17/1480 train_time:486ms step_avg:28.58ms
step:18/1480 train_time:518ms step_avg:28.80ms
step:19/1480 train_time:544ms step_avg:28.65ms
step:20/1480 train_time:577ms step_avg:28.84ms
step:21/1480 train_time:602ms step_avg:28.65ms
step:22/1480 train_time:635ms step_avg:28.86ms
step:23/1480 train_time:660ms step_avg:28.69ms
step:24/1480 train_time:693ms step_avg:28.88ms
step:25/1480 train_time:718ms step_avg:28.72ms
step:26/1480 train_time:751ms step_avg:28.89ms
step:27/1480 train_time:776ms step_avg:28.75ms
step:28/1480 train_time:809ms step_avg:28.90ms
step:29/1480 train_time:835ms step_avg:28.78ms
step:30/1480 train_time:867ms step_avg:28.90ms
step:31/1480 train_time:892ms step_avg:28.78ms
step:32/1480 train_time:927ms step_avg:28.96ms
step:33/1480 train_time:956ms step_avg:28.97ms
step:34/1480 train_time:991ms step_avg:29.16ms
step:35/1480 train_time:1019ms step_avg:29.10ms
step:36/1480 train_time:1054ms step_avg:29.27ms
step:37/1480 train_time:1080ms step_avg:29.19ms
step:38/1480 train_time:1114ms step_avg:29.32ms
step:39/1480 train_time:1140ms step_avg:29.23ms
step:40/1480 train_time:1173ms step_avg:29.34ms
step:41/1480 train_time:1199ms step_avg:29.24ms
step:42/1480 train_time:1232ms step_avg:29.33ms
step:43/1480 train_time:1257ms step_avg:29.24ms
step:44/1480 train_time:1291ms step_avg:29.34ms
step:45/1480 train_time:1316ms step_avg:29.25ms
step:46/1480 train_time:1350ms step_avg:29.35ms
step:47/1480 train_time:1376ms step_avg:29.27ms
step:48/1480 train_time:1409ms step_avg:29.35ms
step:49/1480 train_time:1434ms step_avg:29.27ms
step:50/1480 train_time:1467ms step_avg:29.33ms
step:51/1480 train_time:1492ms step_avg:29.25ms
step:52/1480 train_time:1525ms step_avg:29.32ms
step:53/1480 train_time:1550ms step_avg:29.24ms
step:54/1480 train_time:1583ms step_avg:29.31ms
step:55/1480 train_time:1609ms step_avg:29.25ms
step:56/1480 train_time:1641ms step_avg:29.31ms
step:57/1480 train_time:1667ms step_avg:29.25ms
step:58/1480 train_time:1700ms step_avg:29.31ms
step:59/1480 train_time:1726ms step_avg:29.25ms
step:60/1480 train_time:1758ms step_avg:29.31ms
