data_download_start_utc=2026-05-14T10:47:56Z
data_download_done_utc=2026-05-14T10:47:56Z
train_start_utc=2026-05-14T10:47:56Z
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 76
 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
logs/c6c83289-9b8c-4dd9-94c7-03be648f90b7.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8276 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:49ms step_avg:48.63ms
step:2/1480 train_time:71ms step_avg:35.72ms
step:3/1480 train_time:90ms step_avg:30.02ms
step:4/1480 train_time:122ms step_avg:30.50ms
step:5/1480 train_time:146ms step_avg:29.30ms
step:6/1480 train_time:179ms step_avg:29.88ms
step:7/1480 train_time:204ms step_avg:29.11ms
step:8/1480 train_time:237ms step_avg:29.56ms
step:9/1480 train_time:262ms step_avg:29.06ms
step:10/1480 train_time:294ms step_avg:29.35ms
step:11/1480 train_time:319ms step_avg:28.97ms
step:12/1480 train_time:350ms step_avg:29.20ms
step:13/1480 train_time:377ms step_avg:28.96ms
step:14/1480 train_time:409ms step_avg:29.19ms
step:15/1480 train_time:435ms step_avg:28.97ms
step:16/1480 train_time:467ms step_avg:29.16ms
step:17/1480 train_time:493ms step_avg:28.98ms
step:18/1480 train_time:525ms step_avg:29.15ms
step:19/1480 train_time:551ms step_avg:28.98ms
step:20/1480 train_time:584ms step_avg:29.18ms
step:21/1480 train_time:608ms step_avg:28.96ms
step:22/1480 train_time:641ms step_avg:29.13ms
step:23/1480 train_time:666ms step_avg:28.96ms
step:24/1480 train_time:699ms step_avg:29.13ms
