data_download_start_utc=2026-05-14T10:08:00Z
data_download_done_utc=2026-05-14T10:08:01Z
train_start_utc=2026-05-14T10:08:01Z
W0514 10:08:02.222000 2771 torch/distributed/run.py:852] 
W0514 10:08:02.222000 2771 torch/distributed/run.py:852] *****************************************
W0514 10:08:02.222000 2771 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 10:08:02.222000 2771 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank [Gloo] Rank 432 is connected to  is connected to  is connected to 777 peer ranks.  peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:  25%|██▌       | 1/4 [00:05<00:15,  5.17s/it]Fetching 4 files: 100%|██████████| 4/4 [00:05<00:00,  1.29s/it]
Fetching 4 files:  25%|██▌       | 1/4 [00:05<00:15,  5.11s/it]Fetching 4 files: 100%|██████████| 4/4 [00:05<00:00,  1.28s/it]
Fetching 4 files:  25%|██▌       | 1/4 [00:05<00:15,  5.16s/it]Fetching 4 files: 100%|██████████| 4/4 [00:05<00:00,  1.29s/it]
Fetching 4 files:  25%|██▌       | 1/4 [00:05<00:15,  5.11s/it]Fetching 4 files: 100%|██████████| 4/4 [00:05<00:00,  1.28s/it]
Fetching 4 files:  25%|██▌       | 1/4 [00:05<00:15,  5.16s/it]Fetching 4 files: 100%|██████████| 4/4 [00:05<00:00,  1.29s/it]
Fetching 4 files:  25%|██▌       | 1/4 [00:05<00:15,  5.11s/it]Fetching 4 files: 100%|██████████| 4/4 [00:05<00:00,  1.28s/it]
Fetching 4 files:  25%|██▌       | 1/4 [00:05<00:15,  5.12s/it]Fetching 4 files: 100%|██████████| 4/4 [00:05<00:00,  1.28s/it]
Fetching 4 files:  25%|██▌       | 1/4 [00:05<00:15,  5.18s/it]Fetching 4 files: 100%|██████████| 4/4 [00:05<00:00,  1.30s/it]
logs/4de693bf-2d45-4388-9683-eedf0bb949a4.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8317 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:48ms step_avg:47.57ms
step:2/1480 train_time:67ms step_avg:33.50ms
step:3/1480 train_time:82ms step_avg:27.38ms
step:4/1480 train_time:109ms step_avg:27.21ms
step:5/1480 train_time:133ms step_avg:26.68ms
step:6/1480 train_time:165ms step_avg:27.55ms
step:7/1480 train_time:191ms step_avg:27.25ms
step:8/1480 train_time:223ms step_avg:27.89ms
step:9/1480 train_time:248ms step_avg:27.56ms
step:10/1480 train_time:281ms step_avg:28.06ms
step:11/1480 train_time:305ms step_avg:27.77ms
step:12/1480 train_time:338ms step_avg:28.15ms
step:13/1480 train_time:363ms step_avg:27.90ms
step:14/1480 train_time:396ms step_avg:28.28ms
step:15/1480 train_time:421ms step_avg:28.06ms
step:16/1480 train_time:454ms step_avg:28.35ms
step:17/1480 train_time:479ms step_avg:28.15ms
step:18/1480 train_time:511ms step_avg:28.40ms
step:19/1480 train_time:537ms step_avg:28.25ms
step:20/1480 train_time:569ms step_avg:28.44ms
step:21/1480 train_time:594ms step_avg:28.29ms
step:22/1480 train_time:627ms step_avg:28.48ms
step:23/1480 train_time:652ms step_avg:28.35ms
step:24/1480 train_time:684ms step_avg:28.52ms
step:25/1480 train_time:710ms step_avg:28.40ms
step:26/1480 train_time:743ms step_avg:28.56ms
step:27/1480 train_time:767ms step_avg:28.42ms
step:28/1480 train_time:801ms step_avg:28.60ms
step:29/1480 train_time:825ms step_avg:28.44ms
step:30/1480 train_time:858ms step_avg:28.58ms
step:31/1480 train_time:882ms step_avg:28.46ms
step:32/1480 train_time:917ms step_avg:28.65ms
step:33/1480 train_time:944ms step_avg:28.61ms
step:34/1480 train_time:980ms step_avg:28.82ms
step:35/1480 train_time:1007ms step_avg:28.77ms
step:36/1480 train_time:1041ms step_avg:28.92ms
step:37/1480 train_time:1067ms step_avg:28.84ms
step:38/1480 train_time:1101ms step_avg:28.98ms
step:39/1480 train_time:1126ms step_avg:28.87ms
step:40/1480 train_time:1160ms step_avg:28.99ms
step:41/1480 train_time:1185ms step_avg:28.90ms
step:42/1480 train_time:1219ms step_avg:29.02ms
step:43/1480 train_time:1244ms step_avg:28.94ms
step:44/1480 train_time:1277ms step_avg:29.03ms
step:45/1480 train_time:1303ms step_avg:28.94ms
step:46/1480 train_time:1335ms step_avg:29.03ms
step:47/1480 train_time:1361ms step_avg:28.95ms
step:48/1480 train_time:1393ms step_avg:29.02ms
step:49/1480 train_time:1418ms step_avg:28.94ms
step:50/1480 train_time:1450ms step_avg:29.01ms
step:51/1480 train_time:1476ms step_avg:28.94ms
step:52/1480 train_time:1508ms step_avg:29.00ms
step:53/1480 train_time:1533ms step_avg:28.92ms
step:54/1480 train_time:1565ms step_avg:28.98ms
step:55/1480 train_time:1591ms step_avg:28.93ms
step:56/1480 train_time:1624ms step_avg:29.00ms
step:57/1480 train_time:1649ms step_avg:28.93ms
step:58/1480 train_time:1682ms step_avg:28.99ms
step:59/1480 train_time:1707ms step_avg:28.93ms
step:60/1480 train_time:1740ms step_avg:29.00ms
step:61/1480 train_time:1765ms step_avg:28.93ms
step:62/1480 train_time:1798ms step_avg:28.99ms
step:63/1480 train_time:1823ms step_avg:28.94ms
step:64/1480 train_time:1856ms step_avg:29.01ms
step:65/1480 train_time:1882ms step_avg:28.96ms
step:66/1480 train_time:1916ms step_avg:29.04ms
step:67/1480 train_time:1943ms step_avg:28.99ms
step:68/1480 train_time:1977ms step_avg:29.07ms
step:69/1480 train_time:2003ms step_avg:29.03ms
step:70/1480 train_time:2037ms step_avg:29.10ms
step:71/1480 train_time:2063ms step_avg:29.06ms
step:72/1480 train_time:2097ms step_avg:29.13ms
step:73/1480 train_time:2123ms step_avg:29.08ms
step:74/1480 train_time:2157ms step_avg:29.15ms
step:75/1480 train_time:2183ms step_avg:29.10ms
step:76/1480 train_time:2216ms step_avg:29.16ms
step:77/1480 train_time:2242ms step_avg:29.12ms
step:78/1480 train_time:2275ms step_avg:29.17ms
step:79/1480 train_time:2301ms step_avg:29.12ms
step:80/1480 train_time:2333ms step_avg:29.17ms
step:81/1480 train_time:2359ms step_avg:29.12ms
step:82/1480 train_time:2392ms step_avg:29.17ms
step:83/1480 train_time:2417ms step_avg:29.12ms
step:84/1480 train_time:2450ms step_avg:29.16ms
step:85/1480 train_time:2475ms step_avg:29.12ms
step:86/1480 train_time:2508ms step_avg:29.16ms
step:87/1480 train_time:2533ms step_avg:29.11ms
step:88/1480 train_time:2565ms step_avg:29.15ms
step:89/1480 train_time:2590ms step_avg:29.11ms
step:90/1480 train_time:2624ms step_avg:29.15ms
step:91/1480 train_time:2649ms step_avg:29.11ms
step:92/1480 train_time:2681ms step_avg:29.14ms
step:93/1480 train_time:2706ms step_avg:29.10ms
step:94/1480 train_time:2739ms step_avg:29.14ms
step:95/1480 train_time:2764ms step_avg:29.10ms
step:96/1480 train_time:2798ms step_avg:29.14ms
step:97/1480 train_time:2823ms step_avg:29.10ms
step:98/1480 train_time:2856ms step_avg:29.15ms
step:99/1480 train_time:2882ms step_avg:29.11ms
step:100/1480 train_time:2916ms step_avg:29.16ms
step:101/1480 train_time:2941ms step_avg:29.12ms
step:102/1480 train_time:2975ms step_avg:29.17ms
step:103/1480 train_time:3002ms step_avg:29.14ms
step:104/1480 train_time:3035ms step_avg:29.18ms
step:105/1480 train_time:3061ms step_avg:29.16ms
step:106/1480 train_time:3094ms step_avg:29.19ms
step:107/1480 train_time:3121ms step_avg:29.16ms
step:108/1480 train_time:3154ms step_avg:29.20ms
step:109/1480 train_time:3180ms step_avg:29.17ms
step:110/1480 train_time:3213ms step_avg:29.21ms
step:111/1480 train_time:3238ms step_avg:29.18ms
step:112/1480 train_time:3271ms step_avg:29.21ms
step:113/1480 train_time:3297ms step_avg:29.18ms
step:114/1480 train_time:3329ms step_avg:29.21ms
step:115/1480 train_time:3356ms step_avg:29.18ms
step:116/1480 train_time:3388ms step_avg:29.21ms
step:117/1480 train_time:3414ms step_avg:29.18ms
step:118/1480 train_time:3446ms step_avg:29.21ms
step:119/1480 train_time:3472ms step_avg:29.18ms
step:120/1480 train_time:3505ms step_avg:29.21ms
step:121/1480 train_time:3530ms step_avg:29.18ms
step:122/1480 train_time:3563ms step_avg:29.20ms
step:123/1480 train_time:3588ms step_avg:29.17ms
step:124/1480 train_time:3621ms step_avg:29.20ms
step:125/1480 train_time:3645ms step_avg:29.16ms
step:126/1480 train_time:3678ms step_avg:29.19ms
step:127/1480 train_time:3703ms step_avg:29.16ms
step:128/1480 train_time:3736ms step_avg:29.19ms
step:129/1480 train_time:3762ms step_avg:29.16ms
step:130/1480 train_time:3795ms step_avg:29.19ms
step:131/1480 train_time:3821ms step_avg:29.17ms
step:132/1480 train_time:3854ms step_avg:29.19ms
step:133/1480 train_time:3879ms step_avg:29.17ms
step:134/1480 train_time:3912ms step_avg:29.19ms
step:135/1480 train_time:3937ms step_avg:29.17ms
step:136/1480 train_time:3970ms step_avg:29.19ms
step:137/1480 train_time:3996ms step_avg:29.17ms
step:138/1480 train_time:4029ms step_avg:29.20ms
step:139/1480 train_time:4056ms step_avg:29.18ms
step:140/1480 train_time:4088ms step_avg:29.20ms
step:141/1480 train_time:4115ms step_avg:29.18ms
step:142/1480 train_time:4148ms step_avg:29.21ms
step:143/1480 train_time:4174ms step_avg:29.19ms
step:144/1480 train_time:4207ms step_avg:29.22ms
step:145/1480 train_time:4233ms step_avg:29.19ms
step:146/1480 train_time:4266ms step_avg:29.22ms
step:147/1480 train_time:4292ms step_avg:29.19ms
step:148/1480 train_time:4325ms step_avg:29.22ms
step:149/1480 train_time:4351ms step_avg:29.20ms
step:150/1480 train_time:4383ms step_avg:29.22ms
step:151/1480 train_time:4409ms step_avg:29.20ms
step:152/1480 train_time:4442ms step_avg:29.23ms
step:153/1480 train_time:4468ms step_avg:29.20ms
step:154/1480 train_time:4501ms step_avg:29.23ms
step:155/1480 train_time:4526ms step_avg:29.20ms
step:156/1480 train_time:4559ms step_avg:29.22ms
step:157/1480 train_time:4584ms step_avg:29.20ms
step:158/1480 train_time:4617ms step_avg:29.22ms
step:159/1480 train_time:4643ms step_avg:29.20ms
step:160/1480 train_time:4676ms step_avg:29.22ms
step:161/1480 train_time:4701ms step_avg:29.20ms
step:162/1480 train_time:4734ms step_avg:29.22ms
step:163/1480 train_time:4759ms step_avg:29.20ms
step:164/1480 train_time:4792ms step_avg:29.22ms
step:165/1480 train_time:4818ms step_avg:29.20ms
step:166/1480 train_time:4850ms step_avg:29.22ms
step:167/1480 train_time:4876ms step_avg:29.20ms
step:168/1480 train_time:4908ms step_avg:29.22ms
step:169/1480 train_time:4934ms step_avg:29.20ms
step:170/1480 train_time:4967ms step_avg:29.22ms
step:171/1480 train_time:4993ms step_avg:29.20ms
step:172/1480 train_time:5027ms step_avg:29.23ms
step:173/1480 train_time:5053ms step_avg:29.21ms
step:174/1480 train_time:5085ms step_avg:29.23ms
step:175/1480 train_time:5112ms step_avg:29.21ms
step:176/1480 train_time:5145ms step_avg:29.23ms
step:177/1480 train_time:5170ms step_avg:29.21ms
step:178/1480 train_time:5203ms step_avg:29.23ms
step:179/1480 train_time:5229ms step_avg:29.21ms
step:180/1480 train_time:5262ms step_avg:29.24ms
step:181/1480 train_time:5288ms step_avg:29.22ms
step:182/1480 train_time:5322ms step_avg:29.24ms
step:183/1480 train_time:5348ms step_avg:29.22ms
step:184/1480 train_time:5380ms step_avg:29.24ms
step:185/1480 train_time:5405ms step_avg:29.22ms
step:186/1480 train_time:5438ms step_avg:29.24ms
