data_download_start_utc=2026-05-14T04:57:57Z
data_download_done_utc=2026-05-14T04:57:57Z
train_start_utc=2026-05-14T04:57:57Z
W0514 04:57:58.794000 3214 torch/distributed/run.py:852] 
W0514 04:57:58.794000 3214 torch/distributed/run.py:852] *****************************************
W0514 04:57:58.794000 3214 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 04:57:58.794000 3214 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7[Gloo] Rank  is connected to 76 peer ranks.  is connected to Expected number of connected peer ranks is : 77 peer ranks. 
Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 72944.42it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 76959.71it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 52924.97it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9341.43it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6641.81it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9805.50it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 73908.44it/s]
logs/4b45738b-1c0f-404b-a2a0-c4c74067ba57.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5385.94it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8314 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:51ms step_avg:51.20ms
step:2/1480 train_time:74ms step_avg:36.87ms
step:3/1480 train_time:92ms step_avg:30.66ms
step:4/1480 train_time:115ms step_avg:28.82ms
step:5/1480 train_time:139ms step_avg:27.80ms
step:6/1480 train_time:172ms step_avg:28.72ms
step:7/1480 train_time:197ms step_avg:28.18ms
step:8/1480 train_time:231ms step_avg:28.83ms
step:9/1480 train_time:255ms step_avg:28.34ms
step:10/1480 train_time:288ms step_avg:28.79ms
step:11/1480 train_time:313ms step_avg:28.42ms
step:12/1480 train_time:345ms step_avg:28.76ms
step:13/1480 train_time:370ms step_avg:28.50ms
step:14/1480 train_time:403ms step_avg:28.81ms
step:15/1480 train_time:428ms step_avg:28.55ms
step:16/1480 train_time:461ms step_avg:28.79ms
step:17/1480 train_time:486ms step_avg:28.60ms
step:18/1480 train_time:518ms step_avg:28.79ms
step:19/1480 train_time:543ms step_avg:28.60ms
step:20/1480 train_time:576ms step_avg:28.82ms
step:21/1480 train_time:601ms step_avg:28.63ms
step:22/1480 train_time:634ms step_avg:28.81ms
step:23/1480 train_time:659ms step_avg:28.65ms
step:24/1480 train_time:691ms step_avg:28.81ms
step:25/1480 train_time:716ms step_avg:28.64ms
step:26/1480 train_time:749ms step_avg:28.79ms
step:27/1480 train_time:773ms step_avg:28.65ms
step:28/1480 train_time:806ms step_avg:28.80ms
step:29/1480 train_time:831ms step_avg:28.66ms
step:30/1480 train_time:863ms step_avg:28.78ms
step:31/1480 train_time:889ms step_avg:28.68ms
step:32/1480 train_time:923ms step_avg:28.85ms
step:33/1480 train_time:951ms step_avg:28.83ms
step:34/1480 train_time:987ms step_avg:29.02ms
step:35/1480 train_time:1014ms step_avg:28.98ms
step:36/1480 train_time:1049ms step_avg:29.15ms
step:37/1480 train_time:1076ms step_avg:29.08ms
step:38/1480 train_time:1110ms step_avg:29.22ms
step:39/1480 train_time:1136ms step_avg:29.13ms
step:40/1480 train_time:1169ms step_avg:29.23ms
step:41/1480 train_time:1195ms step_avg:29.14ms
step:42/1480 train_time:1228ms step_avg:29.23ms
step:43/1480 train_time:1253ms step_avg:29.14ms
step:44/1480 train_time:1286ms step_avg:29.22ms
step:45/1480 train_time:1311ms step_avg:29.13ms
step:46/1480 train_time:1343ms step_avg:29.21ms
step:47/1480 train_time:1369ms step_avg:29.12ms
step:48/1480 train_time:1401ms step_avg:29.19ms
step:49/1480 train_time:1426ms step_avg:29.11ms
step:50/1480 train_time:1459ms step_avg:29.17ms
step:51/1480 train_time:1484ms step_avg:29.09ms
step:52/1480 train_time:1516ms step_avg:29.16ms
step:53/1480 train_time:1541ms step_avg:29.08ms
step:54/1480 train_time:1574ms step_avg:29.15ms
step:55/1480 train_time:1600ms step_avg:29.08ms
step:56/1480 train_time:1632ms step_avg:29.15ms
step:57/1480 train_time:1657ms step_avg:29.07ms
step:58/1480 train_time:1690ms step_avg:29.13ms
step:59/1480 train_time:1715ms step_avg:29.06ms
step:60/1480 train_time:1747ms step_avg:29.12ms
step:61/1480 train_time:1772ms step_avg:29.05ms
step:62/1480 train_time:1805ms step_avg:29.12ms
step:63/1480 train_time:1831ms step_avg:29.06ms
step:64/1480 train_time:1863ms step_avg:29.12ms
step:65/1480 train_time:1890ms step_avg:29.07ms
step:66/1480 train_time:1922ms step_avg:29.13ms
step:67/1480 train_time:1949ms step_avg:29.10ms
step:68/1480 train_time:1983ms step_avg:29.16ms
